#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 295.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.9036256086597527 2 9.633969792074435 12.47305921621096 1.0 1.0 1.0 0.55 0.55 0.0 0.55 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00268 0.00268 0.00 0.00268 0.00 NaN NaN NaN NaN NaN 0.00268 0.00268 0.00 0.00268 0.00 274 274 0.00 274 0.00
1.9036256086597527 3 10.701504198097117 10.276204229220655 2.0 2.0 2.0 0.83 0.46 0.27 0.46 0.52 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.229 0.0780 0.0170 0.00268 0.130 0.00 0.00 0.00 0.00 0.00 0.231 0.230 2.40e-06 0.231 0.00155 274 183 2.51e+04 274 158
2.9036256086597527 6 11.175351076589111 9.475586894118512 4.0 4.0 4.0 1.7 0.41 0.49 0.13 0.70 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 4.56 0.799 3.40 0.00268 1.84 139 68.9 6.34e+03 68.5 79.6 4.56 0.875 3.27 0.230 1.81 274 137 1.50e+04 138 123
3.023537389697067 9 9.446155310132754 11.727179769504168 5.0 5.0 5.0 2.5 0.41 0.71 0.079 0.84 3.0 2.0 1.0 2.0 1.0 2.00 0.444 0.528 0.00 0.726 45.3 5.80 221 0.00268 14.9 185 46.0 4.86e+03 0.0106 69.7 45.3 6.33 217 0.231 14.7 274 81.5 1.14e+04 0.0212 107
4.008444043530694 13 9.665025215420952 14.025139235739342 6.0 6.0 6.0 3.6 0.40 1.0 0.071 1.0 4.0 2.3 1.6 2.0 1.3 3.00 0.615 0.923 0.00 0.961 45.3 7.69 280 0.229 16.7 68.5 21.0 713 0.000570 26.7 49.8 12.1 397 1.56 19.9 274 54.6 7.80e+03 0.00114 88.3
5.008444043530694 16 9.740305841074079 14.833992309192812 6.0 6.0 6.0 4.4 0.41 1.2 0.062 1.1 5.0 2.8 2.3 2.5 1.5 3.00 0.750 1.00 0.00 1.00 256 21.5 4.07e+03 0.579 63.8 68.5 10.9 476 0.000357 21.8 301 44.2 8.76e+03 2.31 93.6 274 44.2 7.38e+03 0.00125 85.9
6.008444043530694 19 9.891627547668602 16.348847089439612 7.0 7.0 7.0 5.2 0.41 1.5 0.069 1.2 6.0 3.2 2.6 3.0 1.6 4.00 0.789 1.51 0.00 1.23 609 51.1 2.17e+04 1.56 147 73.1 11.2 428 0.270 20.7 609 87.9 2.80e+04 3.94 167 274 41.9 6.72e+03 0.518 82.0
7.008444043530694 21 9.858677000033563 17.781438104889844 7.0 7.0 7.0 5.8 0.41 1.6 0.064 1.3 6.0 3.3 2.0 3.0 1.4 5.00 0.905 1.99 0.00 1.41 634 94.9 4.02e+04 2.13 201 57.1 8.32 289 0.0164 17.0 953 246 1.22e+05 12.9 349 274 36.7 6.59e+03 0.0217 81.2
8.008444043530695 24 10.190356601849844 18.590305879705635 7.0 7.0 7.0 6.6 0.41 1.9 0.056 1.4 6.0 3.7 1.7 4.0 1.3 5.00 0.875 1.68 0.00 1.30 634 84.3 3.58e+04 3.94 189 62.9 10.5 430 0.0114 20.7 1.57e+03 415 3.86e+05 15.1 621 274 35.3 5.73e+03 0.107 75.7
9.008444043530695 24 10.190356601849844 18.590305879705635 7.0 7.0 7.0 6.6 0.41 1.9 0.056 1.4 6.0 3.7 1.7 4.0 1.3 5.00 0.958 1.87 0.00 1.37 634 87.0 3.55e+04 4.25 188 57.1 6.01 273 0.164 16.5 2.36e+03 491 6.82e+05 26.3 826 274 30.9 5.94e+03 0.209 77.1
10.008444043530695 27 10.181767234938642 20.080113103656508 8.0 8.0 8.0 7.5 0.42 2.1 0.063 1.4 6.0 3.6 1.8 4.0 1.3 5.00 0.852 1.75 0.00 1.32 634 111 4.15e+04 8.55 204 84.6 8.59 413 0.141 20.3 2.39e+03 471 5.75e+05 66.4 758 274 31.9 5.50e+03 0.219 74.2
11.008444043530695 31 10.153689995698114 22.128185085647083 9.0 9.0 9.0 8.6 0.42 2.4 0.067 1.6 6.0 3.8 2.2 4.0 1.5 5.00 0.871 1.52 0.00 1.23 647 150 4.98e+04 12.9 223 80.6 7.69 328 0.252 18.1 2.39e+03 511 5.64e+05 111 751 274 29.3 4.69e+03 0.519 68.5
12.008444043530695 32 10.25450916040061 22.61047741653735 9.0 9.0 9.0 8.8 0.42 2.5 0.063 1.6 7.0 3.9 2.2 4.0 1.5 5.00 1.00 1.48 1.00 1.22 647 161 5.21e+04 15.1 228 80.6 6.98 310 0.968 17.6 2.98e+03 673 9.05e+05 255 951 274 27.5 4.50e+03 1.57 67.1
13.008444043530695 33 10.153259849017552 22.68258465664315 9.0 9.0 9.0 9.1 0.42 2.6 0.065 1.6 7.0 4.1 2.4 4.0 1.6 5.00 0.939 1.43 1.00 1.20 647 158 5.07e+04 17.3 225 82.2 7.04 307 0.978 17.5 4.54e+03 851 1.84e+06 297 1.36e+03 274 26.7 4.40e+03 1.55 66.3
14.008444043530695 33 10.153259849017552 22.68258465664315 9.0 9.0 9.0 9.1 0.42 2.6 0.065 1.6 7.0 4.1 2.4 4.0 1.6 5.00 1.00 1.50 1.00 1.22 647 158 5.07e+04 17.3 225 79.7 6.90 288 0.740 17.0 4.88e+03 952 2.29e+06 297 1.51e+03 274 26.9 4.35e+03 1.76 66.0
15.008444043530695 34 10.481686711051887 22.650165578284515 9.0 9.0 9.0 9.4 0.42 2.6 0.067 1.6 7.0 4.1 2.6 4.0 1.6 5.00 1.00 1.45 1.00 1.21 647 154 4.98e+04 15.1 223 75.3 6.84 260 0.878 16.1 6.17e+03 1.14e+03 3.45e+06 484 1.86e+03 274 26.6 4.16e+03 1.56 64.5
16.008444043530695 35 10.599208340826728 22.897804289325716 9.0 9.0 9.0 9.7 0.42 2.7 0.069 1.6 8.0 4.3 2.9 4.0 1.7 5.00 0.943 1.41 1.00 1.19 647 160 4.96e+04 17.3 223 77.7 6.50 263 0.545 16.2 6.81e+03 1.02e+03 2.91e+06 360 1.71e+03 274 25.2 4.06e+03 1.02 63.7
17.008444043530695 35 10.599208340826728 22.897804289325716 9.0 9.0 9.0 9.7 0.42 2.7 0.069 1.6 8.0 4.3 2.9 4.0 1.7 5.00 0.971 1.50 1.00 1.22 647 160 4.96e+04 17.3 223 75.3 6.55 249 1.83 15.8 6.81e+03 1.05e+03 3.11e+06 360 1.76e+03 274 25.4 4.01e+03 2.99 63.3
18.008444043530695 36 10.704009707907735 23.118444632024524 9.0 9.0 9.0 9.9 0.42 2.8 0.071 1.7 9.0 4.6 3.5 4.5 1.9 5.00 0.944 1.48 1.00 1.22 647 165 4.92e+04 21.2 222 75.9 6.56 244 2.16 15.6 5.59e+03 996 2.67e+06 353 1.63e+03 274 25.0 3.90e+03 2.82 62.5
