#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T15:28+0000 #
#####################################################################
#
# maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 9.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 -1.7813134449603867 1.7541158487407151 1.0 1.0 0.0 1.0 0.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 -1.7813134449603867 1.7541158487407151 1.0 1.0 0.0 1.0 0.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.138 0.120 0.000643 0.120 0.0254 94.4 51.0 3.77e+03 51.0 61.4 0.138 0.103 0.00236 0.103 0.0486
2.0 2 -1.7813134449603867 1.7541158487407151 1.0 1.0 0.0 1.0 0.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.138 0.120 0.000643 0.120 0.0254 85.0 46.3 3.00e+03 46.3 54.8 0.138 0.103 0.00236 0.103 0.0486
3.0 5 -3.9769430016446137 4.081047508698942 2.0 2.0 0.0 2.0 0.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 85.0 18.5 1.39e+03 0.00 37.3 0.742 0.250 0.0771 0.138 0.278
4.0 5 -3.9769430016446137 4.081047508698942 2.0 2.0 0.0 2.0 0.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 37.9 9.49 270 0.00 16.4 0.742 0.371 0.0688 0.271 0.262
5.0 5 -3.9769430016446137 4.081047508698942 2.0 2.0 0.0 2.0 0.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 684 201 7.67e+04 118 277 0.742 0.371 0.0688 0.271 0.262
6.0 5 -3.9769430016446137 4.081047508698942 2.0 2.0 0.0 2.0 0.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 684 201 7.67e+04 118 277 0.742 0.371 0.0688 0.271 0.262
7.0 8 -1.2578354863854182 6.455690516258194 3.0 3.0 0.0 3.0 0.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 684 126 5.46e+04 21.8 234 13.0 2.84 20.1 0.641 4.48
8.0 8 -1.2578354863854182 6.455690516258194 3.0 3.0 0.0 3.0 0.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 684 126 5.46e+04 21.8 234 17.1 4.89 43.9 1.50 6.62
9.0 8 -1.2578354863854182 6.455690516258194 3.0 3.0 0.0 3.0 0.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 684 145 5.35e+04 64.7 231 17.1 6.49 37.7 4.98 6.14
10.0 8 -1.2578354863854182 6.455690516258194 3.0 3.0 0.0 3.0 0.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 1.03e+06 2.03e+05 1.34e+11 1.33e+03 3.66e+05 17.1 6.49 37.7 4.98 6.14
11.0 8 -1.2578354863854182 6.455690516258194 3.0 3.0 0.0 3.0 0.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 1.03e+06 2.03e+05 1.34e+11 1.33e+03 3.66e+05 17.1 6.49 37.7 4.98 6.14
12.0 8 -1.2578354863854182 6.455690516258194 3.0 3.0 0.0 3.0 0.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 1.03e+06 2.03e+05 1.34e+11 1.33e+03 3.66e+05 17.1 6.49 37.7 4.98 6.14
13.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.03e+06 1.47e+05 1.03e+11 27.0 3.21e+05 115 23.1 1.23e+03 9.05 35.1
14.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.03e+06 1.47e+05 1.03e+11 27.0 3.21e+05 203 40.4 4.12e+03 9.05 64.2
15.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.03e+06 1.47e+05 1.03e+11 27.0 3.21e+05 203 54.6 5.60e+03 9.05 74.8
16.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.03e+06 1.47e+05 1.03e+11 27.0 3.21e+05 203 65.6 5.14e+03 45.0 71.7
17.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.57e+10 1.81e+09 2.24e+19 260 4.73e+09 203 65.6 5.14e+03 45.0 71.7
18.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.57e+10 1.81e+09 2.24e+19 260 4.73e+09 203 65.6 5.14e+03 45.0 71.7
19.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.57e+10 1.81e+09 2.24e+19 260 4.73e+09 203 65.6 5.14e+03 45.0 71.7
20.0 11 -1.3457832750788754 8.760067684402982 4.0 4.0 0.0 4.0 0.0 0.88 0.21 0.069 0.084 0.26 6.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 115 20.4 1.32e+03 2.46 36.3 1.57e+10 1.81e+09 2.24e+19 260 4.73e+09 203 65.6 5.14e+03 45.0 71.7
21.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.57e+10 1.42e+09 1.78e+19 114 4.22e+09 367 108 1.36e+04 75.0 117
22.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.57e+10 1.42e+09 1.78e+19 114 4.22e+09 788 156 4.67e+04 75.0 216
23.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.57e+10 1.42e+09 1.78e+19 114 4.22e+09 875 204 8.39e+04 75.0 290
24.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.57e+10 1.42e+09 1.78e+19 114 4.22e+09 875 243 1.03e+05 75.0 321
25.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.57e+10 1.42e+09 1.78e+19 86.3 4.22e+09 875 274 9.88e+04 152 314
26.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.47e+38 1.16e+37 1.54e+75 105 3.92e+37 875 274 9.88e+04 152 314
27.0 14 -0.5675008530296434 11.184752019634882 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.093 0.093 0.30 6.0 3.1 2.1 3.0 1.5 3.00 0.929 1.92 0.00 1.38 367 72.3 1.43e+04 9.21 120 1.47e+38 1.16e+37 1.54e+75 105 3.92e+37 875 274 9.88e+04 152 314
