#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T11:24+0000 #
#####################################################################
#
# seed = 1.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 11.895963112602182 11.62951645455081 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 11.895963112602182 11.62951645455081 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.129 0.116 0.000379 0.116 0.0195 88.8 48.2 3.30e+03 48.2 57.4 0.129 0.0971 0.00209 0.0971 0.0457
2.0 2 11.895963112602182 11.62951645455081 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.129 0.116 0.000379 0.116 0.0195 79.9 43.7 2.62e+03 43.7 51.1 0.129 0.0971 0.00209 0.0971 0.0457
3.0 5 14.395199655788707 13.794680450830857 2.0 2.0 2.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 79.9 17.5 1.23e+03 0.00 35.0 1.57 0.445 0.411 0.129 0.641
4.0 5 14.395199655788707 13.794680450830857 2.0 2.0 2.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 77.0 17.3 1.13e+03 0.00 33.6 1.57 0.719 0.347 0.523 0.589
5.0 5 14.395199655788707 13.794680450830857 2.0 2.0 2.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 2.95e+03 776 1.54e+06 190 1.24e+03 1.57 0.719 0.347 0.523 0.589
6.0 5 14.395199655788707 13.794680450830857 2.0 2.0 2.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 2.95e+03 776 1.54e+06 190 1.24e+03 1.57 0.719 0.347 0.523 0.589
7.0 8 13.095809305774253 16.42514749414944 3.0 3.0 3.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 2.95e+03 485 1.04e+06 39.4 1.02e+03 25.8 6.82 129 0.801 11.4
8.0 8 13.095809305774253 16.42514749414944 3.0 3.0 3.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 2.95e+03 485 1.04e+06 39.4 1.02e+03 50.9 13.0 359 0.801 19.0
