#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T16:29+0000 #
#####################################################################
#
# maxResource = 350.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 6.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.06460426246408058 2 2.2131380340710476 -1.1627639666536531 1.0 1.0 1.0 0.19 0.19 0.0 0.19 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00186 0.00186 0.00 0.00186 0.00 NaN NaN NaN NaN NaN 0.00186 0.00186 0.00 0.00186 0.00 350 350 0.00 350 0.00
1.0646042624640806 3 1.7902615803361488 0.8614840143041936 2.0 2.0 2.0 0.29 0.19 0.020 0.19 0.14 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00186 0.00128 1.02e-06 0.00186 0.00101 0.00 0.00 0.00 0.00 0.00 0.00197 0.00135 1.16e-06 0.00197 0.00108 350 233 4.08e+04 350 202
2.064604262464081 6 1.4202027401127186 1.8990927462380087 4.0 4.0 4.0 0.58 0.20 0.050 0.11 0.22 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 4.93 0.848 4.00 0.00238 2.00 3.13e+03 826 2.36e+06 87.5 1.54e+03 4.93 0.900 3.91 0.154 1.98 3.13e+03 667 1.48e+06 263 1.22e+03
3.064604262464081 9 -0.34067551287384157 2.5622592348023527 4.0 4.0 4.0 0.87 0.20 0.081 0.080 0.28 4.0 2.7 1.5 3.0 1.2 3.00 0.556 1.03 0.00 1.01 4.93 0.757 2.71 0.00290 1.65 236 58.7 7.91e+03 0.0840 89.0 5.09 1.87 5.89 0.145 2.43 350 104 1.86e+04 0.168 136
4.064604262464081 12 0.004355425380683675 3.9516060435918985 5.0 5.0 5.0 1.2 0.21 0.11 0.058 0.33 5.0 2.7 2.1 2.0 1.4 4.00 0.750 1.48 0.00 1.22 4.96 1.08 3.52 0.0986 1.88 87.4 17.8 1.03e+03 0.00214 32.1 6.81 2.20 7.89 0.639 2.81 350 65.6 1.45e+04 0.0410 120
5.064604262464081 12 0.004355425380683675 3.9516060435918985 5.0 5.0 5.0 1.2 0.21 0.11 0.058 0.33 5.0 2.7 2.1 2.0 1.4 4.00 1.08 1.72 1.00 1.31 4.96 1.08 3.52 0.0986 1.88 68.5 6.56 422 0.00341 20.5 19.6 4.83 40.5 1.92 6.36 350 52.6 1.49e+04 0.0344 122
6.064604262464081 14 -0.16393466269501347 3.730820150551158 5.0 5.0 5.0 1.4 0.22 0.13 0.068 0.36 6.0 3.3 3.5 3.0 1.9 4.00 0.786 1.26 0.500 1.12 4.96 0.929 3.13 0.0462 1.77 60.7 12.5 537 0.426 23.2 13.0 3.19 24.5 0.129 4.95 350 48.9 1.03e+04 0.640 102
7.064604262464081 18 -0.8757635459492819 5.79998935309887 6.0 6.0 6.0 1.7 0.23 0.17 0.087 0.41 6.0 3.1 3.5 2.5 1.9 5.00 0.778 1.71 0.00 1.31 57.1 5.86 211 0.149 14.5 68.9 11.4 463 0.0326 21.5 57.1 7.63 210 0.761 14.5 350 45.3 1.02e+04 0.358 101
8.06460426246408 20 -1.1155160511613016 7.025051457241164 6.0 6.0 6.0 1.9 0.23 0.19 0.097 0.44 6.0 3.1 3.1 3.0 1.8 5.00 0.900 1.67 0.500 1.29 277 22.2 3.94e+03 0.271 62.8 99.1 14.7 812 2.31 28.5 277 34.7 4.10e+03 3.60 64.0 350 49.6 1.02e+04 3.38 101
