#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T16:29+0000 #
#####################################################################
#
# maxResource = 350.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 3.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.2747056966576764 2 2.1990729754965526 -1.1891501370477737 1.0 1.0 1.0 0.19 0.19 0.0 0.19 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00186 0.00186 0.00 0.00186 0.00 NaN NaN NaN NaN NaN 0.00186 0.00186 0.00 0.00186 0.00 350 350 0.00 350 0.00
1.2747056966576764 3 3.0152208495333475 -1.4074563341566193 1.0 1.0 1.0 0.29 0.28 0.00012 0.28 0.011 2.0 2.0 0.0 2.0 0.0 1.00 0.667 0.333 1.00 0.577 0.00186 0.00128 1.03e-06 0.00186 0.00102 0.00 0.00 0.00 0.00 0.00 0.00197 0.00135 1.16e-06 0.00197 0.00108 350 233 4.08e+04 350 202
2.2747056966576764 6 1.8839539418503406 -1.6279065822548056 3.0 3.0 3.0 0.57 0.34 0.046 0.32 0.21 4.0 3.0 1.2 3.0 1.1 2.00 0.667 1.07 0.00 1.03 0.00186 0.000674 8.52e-07 0.000142 0.000923 3.29e+03 866 2.61e+06 87.5 1.62e+03 0.00215 0.000769 1.14e-06 0.000142 0.00107 3.29e+03 694 1.64e+06 263 1.28e+03
3.2747056966576764 9 3.3914443544461026 -0.41558633176927295 4.0 4.0 4.0 0.86 0.35 0.11 0.20 0.33 6.0 3.1 2.6 3.0 1.6 4.00 0.667 1.75 0.00 1.32 1.93 0.232 0.409 0.000179 0.639 1.77e+03 235 3.84e+05 0.00 619 1.93 0.250 0.403 0.000179 0.635 1.77e+03 261 3.32e+05 0.00 577
4.274705696657676 11 2.6600106596774484 1.4235896212911114 5.0 5.0 5.0 1.1 0.35 0.15 0.15 0.39 6.0 2.9 2.5 3.0 1.6 4.00 0.727 1.42 0.00 1.19 20.5 2.07 37.6 0.00186 6.13 140 28.0 3.47e+03 0.0771 58.9 20.5 2.44 36.7 0.00278 6.06 350 70.0 1.66e+04 0.124 129
5.274705696657676 15 2.1042823732671088 3.5108149438793714 6.0 6.0 6.0 1.4 0.35 0.24 0.11 0.49 6.0 2.8 2.3 2.0 1.5 4.00 0.667 1.38 0.00 1.18 80.2 7.58 435 0.00299 20.9 93.2 20.0 1.34e+03 0.0134 36.6 80.2 9.25 442 0.227 21.0 350 60.0 1.30e+04 0.0245 114
6.274705696657676 19 2.421585239148402 5.624936698754492 7.0 7.0 7.0 1.8 0.36 0.32 0.074 0.57 6.0 2.9 2.3 3.0 1.5 4.00 0.737 1.43 0.00 1.19 230 19.6 2.97e+03 0.227 54.5 69.9 15.6 662 0.168 25.7 230 27.9 3.21e+03 0.496 56.7 350 53.8 1.11e+04 0.337 105
7.274705696657676 22 2.7688107769595223 7.506097622326385 8.0 8.0 8.0 2.1 0.36 0.38 0.074 0.62 6.0 3.3 2.2 3.0 1.5 4.00 0.818 1.49 0.00 1.22 292 34.0 5.94e+03 0.489 77.1 70.0 13.1 450 0.722 21.2 311 57.5 9.48e+03 6.45 97.3 350 50.3 9.91e+03 1.08 99.5
8.274705696657676 26 3.0262434380710057 9.69206510501955 9.0 9.0 9.0 2.5 0.37 0.47 0.071 0.68 6.0 3.5 2.3 3.0 1.5 4.00 0.846 1.74 0.00 1.32 292 46.7 6.66e+03 2.05 81.6 56.0 10.2 307 0.185 17.5 522 98.5 2.03e+04 23.6 143 350 44.9 8.95e+03 0.277 94.6
