#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T15:28+0000 #
#####################################################################
#
# maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 1.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 1.8959631126021828 1.62951645455081 1.0 1.0 0.0 1.0 0.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 1.8959631126021828 1.62951645455081 1.0 1.0 0.0 1.0 0.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.129 0.116 0.000379 0.116 0.0195 88.8 48.2 3.30e+03 48.2 57.4 0.129 0.0971 0.00209 0.0971 0.0457
2.0 2 1.8959631126021828 1.62951645455081 1.0 1.0 0.0 1.0 0.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.129 0.116 0.000379 0.116 0.0195 79.9 43.7 2.62e+03 43.7 51.1 0.129 0.0971 0.00209 0.0971 0.0457
3.0 5 4.395199655788707 3.794680450830856 2.0 2.0 0.0 2.0 0.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 79.9 17.5 1.23e+03 0.00 35.0 1.57 0.445 0.411 0.129 0.641
4.0 5 4.395199655788707 3.794680450830856 2.0 2.0 0.0 2.0 0.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 77.0 17.3 1.13e+03 0.00 33.6 1.57 0.719 0.347 0.523 0.589
5.0 5 4.395199655788707 3.794680450830856 2.0 2.0 0.0 2.0 0.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 2.95e+03 776 1.54e+06 190 1.24e+03 1.57 0.719 0.347 0.523 0.589
6.0 5 4.395199655788707 3.794680450830856 2.0 2.0 0.0 2.0 0.0 0.40 0.18 0.024 0.12 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 1.57 0.452 0.404 0.129 0.636 2.95e+03 776 1.54e+06 190 1.24e+03 1.57 0.719 0.347 0.523 0.589
7.0 8 3.0958093057742504 6.425147494149437 3.0 3.0 0.0 3.0 0.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 2.95e+03 485 1.04e+06 39.4 1.02e+03 25.8 6.82 129 0.801 11.4
8.0 8 3.0958093057742504 6.425147494149437 3.0 3.0 0.0 3.0 0.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 2.95e+03 485 1.04e+06 39.4 1.02e+03 50.9 13.0 359 0.801 19.0
9.0 8 3.0958093057742504 6.425147494149437 3.0 3.0 0.0 3.0 0.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 2.95e+03 512 1.02e+06 100 1.01e+03 50.9 17.8 317 18.9 17.8
10.0 8 3.0958093057742504 6.425147494149437 3.0 3.0 0.0 3.0 0.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 6.55e+06 1.60e+06 8.68e+12 3.04e+03 2.95e+06 50.9 17.8 317 18.9 17.8
11.0 8 3.0958093057742504 6.425147494149437 3.0 3.0 0.0 3.0 0.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 6.55e+06 1.60e+06 8.68e+12 3.04e+03 2.95e+06 50.9 17.8 317 18.9 17.8
12.0 8 3.0958093057742504 6.425147494149437 3.0 3.0 0.0 3.0 0.0 0.65 0.20 0.044 0.12 0.21 5.0 2.3 2.2 2.0 1.5 3.00 0.875 1.84 0.00 1.36 25.8 6.65 131 0.456 11.5 6.55e+06 1.60e+06 8.68e+12 3.04e+03 2.95e+06 50.9 17.8 317 18.9 17.8
13.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 6.55e+06 1.17e+06 6.64e+12 43.8 2.58e+06 151 30.9 1.82e+03 24.6 42.7
14.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 6.55e+06 1.17e+06 6.64e+12 43.8 2.58e+06 198 46.5 4.34e+03 24.6 65.9
15.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 6.55e+06 1.17e+06 6.64e+12 43.8 2.58e+06 223 62.2 7.18e+03 24.6 84.7
16.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 6.55e+06 1.17e+06 6.64e+12 43.8 2.58e+06 223 74.2 6.93e+03 32.2 83.3
17.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 1.58e+12 1.44e+11 2.27e+23 97.8 4.76e+11 223 74.2 6.93e+03 32.2 83.3
18.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 1.58e+12 1.44e+11 2.27e+23 97.8 4.76e+11 223 74.2 6.93e+03 32.2 83.3
19.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 1.58e+12 1.44e+11 2.27e+23 97.8 4.76e+11 223 74.2 6.93e+03 32.2 83.3
20.0 11 1.4782256049399904 8.624353570830966 4.0 4.0 0.0 4.0 0.0 0.89 0.21 0.066 0.11 0.26 5.0 2.5 2.3 2.0 1.5 3.00 0.909 1.89 0.00 1.38 151 22.8 1.95e+03 1.57 44.2 1.58e+12 1.44e+11 2.27e+23 97.8 4.76e+11 223 74.2 6.93e+03 32.2 83.3
21.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 1.58e+12 1.13e+11 1.78e+23 32.0 4.22e+11 414 134 2.02e+04 86.3 142
22.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 1.58e+12 1.13e+11 1.78e+23 32.0 4.22e+11 1.06e+03 199 8.18e+04 86.3 286
23.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 1.58e+12 1.13e+11 1.78e+23 32.0 4.22e+11 1.11e+03 264 1.41e+05 86.3 375
24.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 1.58e+12 1.13e+11 1.78e+23 32.0 4.22e+11 1.13e+03 330 1.95e+05 86.3 441
25.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 1.58e+12 1.13e+11 1.78e+23 43.2 4.22e+11 1.13e+03 380 1.88e+05 290 433
26.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 5.30e+49 4.21e+48 1.99e+98 44.7 1.41e+49 1.13e+03 380 1.88e+05 290 433
27.0 14 1.0631237233431825 11.409640833381284 5.0 5.0 0.0 5.0 0.0 1.1 0.22 0.088 0.11 0.30 5.0 2.7 2.2 2.0 1.5 3.00 0.929 1.92 0.00 1.38 414 93.8 2.20e+04 19.7 148 5.30e+49 4.21e+48 1.99e+98 44.7 1.41e+49 1.13e+03 380 1.88e+05 290 433
