#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T16:29+0000 #
#####################################################################
#
# maxResource = 350.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 7.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.8081671403801955 2 0.5266256692968875 2.4439037224157594 1.0 1.0 1.0 0.39 0.39 0.0 0.39 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00186 0.00186 0.00 0.00186 0.00 NaN NaN NaN NaN NaN 0.00186 0.00186 0.00 0.00186 0.00 350 350 0.00 350 0.00
1.8081671403801955 3 -1.0047482955416 0.6599925303907178 2.0 2.0 2.0 0.58 0.33 0.13 0.33 0.36 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.150 0.0512 0.00731 0.00186 0.0855 0.00 0.00 0.00 0.00 0.00 0.152 0.151 1.16e-06 0.152 0.00108 350 233 4.08e+04 350 202
2.8081671403801955 6 -0.8510125921486953 1.1614046935202818 4.0 4.0 4.0 1.2 0.29 0.24 0.061 0.49 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.798 0.159 0.102 0.00186 0.319 177 88.0 1.03e+04 87.5 102 0.798 0.209 0.0889 0.151 0.298 350 175 2.45e+04 176 157
3.8081671403801955 9 0.4904505043199474 3.3044927920990026 5.0 5.0 5.0 1.7 0.29 0.35 0.054 0.59 4.0 2.2 1.4 2.0 1.2 3.00 0.556 1.03 0.00 1.01 5.33 1.17 4.19 0.136 2.05 236 58.7 7.92e+03 0.0480 89.0 5.33 1.38 3.85 0.798 1.96 350 104 1.86e+04 0.0960 136
4.8081671403801955 14 1.5392890001177408 5.602808020836768 6.0 6.0 6.0 2.7 0.29 0.54 0.074 0.73 5.0 2.6 1.6 2.0 1.3 4.00 0.643 1.32 0.00 1.15 17.5 3.51 35.6 0.271 5.97 76.5 20.1 1.06e+03 0.00749 32.6 17.5 4.61 32.4 4.16 5.69 350 61.2 1.18e+04 0.0112 108
5.8081671403801955 18 1.8017022433661387 6.991935648386145 6.0 6.0 6.0 3.5 0.30 0.69 0.068 0.83 7.0 3.3 4.1 3.5 2.0 4.00 0.722 1.27 0.00 1.13 133 13.0 1.05e+03 0.636 32.4 76.1 16.5 840 2.06 29.0 133 16.7 1.01e+03 5.59 31.8 350 50.9 9.46e+03 2.29 97.3
6.0279360482492965 23 1.9444227487378711 8.437800369011697 7.0 7.0 7.0 4.5 0.31 0.88 0.085 0.94 7.0 3.7 3.6 4.0 1.9 4.00 0.739 1.38 0.00 1.18 133 12.4 836 1.82 28.9 42.8 12.6 248 2.27 15.7 151 25.0 1.68e+03 10.8 41.0 350 43.7 6.66e+03 2.49 81.6
7.0279360482492965 25 1.4413053703851912 9.158177537458934 7.0 7.0 7.0 4.9 0.31 0.95 0.077 0.98 7.0 3.7 3.4 4.0 1.8 4.00 0.920 1.83 0.00 1.35 319 26.2 4.54e+03 2.90 67.4 42.4 11.7 215 1.82 14.6 319 48.9 5.61e+03 16.3 74.9 350 42.3 6.13e+03 3.99 78.3
8.027936048249297 28 0.9669577071688062 9.96323435820236 7.0 7.0 7.0 5.4 0.31 1.1 0.071 1.0 8.0 4.1 4.3 4.0 2.1 5.00 0.857 1.98 0.00 1.41 319 30.4 4.75e+03 4.20 69.0 65.7 10.3 297 0.983 17.2 452 71.1 1.15e+04 19.8 107 350 36.2 5.91e+03 1.92 76.9
9.015289796175935 31 0.8738618066782565 10.939506875205668 7.0 7.0 7.0 6.0 0.32 1.2 0.071 1.1 8.0 4.3 3.4 4.0 1.8 5.00 0.903 1.82 0.00 1.35 319 45.1 7.36e+03 4.51 85.8 45.7 8.53 169 3.10 13.0 486 111 2.21e+04 26.7 149 350 34.9 5.32e+03 3.97 72.9
