#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T11:24+0000 #
#####################################################################
#
# seed = 9.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 8.218686555039614 11.754115848740716 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 8.218686555039614 11.754115848740716 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.138 0.120 0.000643 0.120 0.0254 94.4 51.0 3.77e+03 51.0 61.4 0.138 0.103 0.00236 0.103 0.0486
2.0 2 8.218686555039614 11.754115848740716 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.138 0.120 0.000643 0.120 0.0254 85.0 46.3 3.00e+03 46.3 54.8 0.138 0.103 0.00236 0.103 0.0486
3.0 5 6.023056998355386 14.08104750869894 2.0 2.0 2.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 85.0 18.5 1.39e+03 0.00 37.3 0.742 0.250 0.0771 0.138 0.278
4.0 5 6.023056998355386 14.08104750869894 2.0 2.0 2.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 37.9 9.49 270 0.00 16.4 0.742 0.371 0.0688 0.271 0.262
5.0 5 6.023056998355386 14.08104750869894 2.0 2.0 2.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 684 201 7.67e+04 118 277 0.742 0.371 0.0688 0.271 0.262
6.0 5 6.023056998355386 14.08104750869894 2.0 2.0 2.0 0.40 0.19 0.022 0.14 0.15 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.742 0.256 0.0743 0.138 0.273 684 201 7.67e+04 118 277 0.742 0.371 0.0688 0.271 0.262
7.0 8 8.742164513614583 16.455690516258194 3.0 3.0 3.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 684 126 5.46e+04 21.8 234 13.0 2.84 20.1 0.641 4.48
8.0 8 8.742164513614583 16.455690516258194 3.0 3.0 3.0 0.64 0.20 0.046 0.14 0.21 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 13.0 2.77 20.5 0.457 4.53 684 126 5.46e+04 21.8 234 17.1 4.89 43.9 1.50 6.62
