#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T16:29+0000 #
#####################################################################
#
# maxResource = 350.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 8.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.42224729628171587 2 -0.35227981783993134 2.475055338763694 1.0 1.0 1.0 0.57 0.57 0.0 0.57 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00186 0.00186 0.00 0.00186 0.00 NaN NaN NaN NaN NaN 0.00186 0.00186 0.00 0.00186 0.00 350 350 0.00 350 0.00
1.4222472962817159 3 0.7160018163621106 0.2812226271614877 2.0 2.0 2.0 0.86 0.48 0.29 0.48 0.54 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.160 0.0544 0.00829 0.00186 0.0911 0.00 0.00 0.00 0.00 0.00 0.161 0.161 1.16e-06 0.161 0.00108 350 233 4.08e+04 350 202
2.422247296281716 6 1.3653776117429597 -0.2719638259628773 4.0 4.0 4.0 1.7 0.41 0.54 0.087 0.73 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 4.34 0.750 3.09 0.00186 1.76 177 88.0 1.03e+04 87.5 102 4.34 0.803 3.00 0.161 1.73 350 175 2.45e+04 176 157
3.422247296281716 9 1.6416534781662107 0.5523408980346743 5.0 5.0 5.0 2.6 0.41 0.78 0.060 0.88 5.0 2.9 1.4 3.0 1.2 3.00 0.556 1.03 0.00 1.01 51.5 6.22 290 0.00186 17.0 236 58.7 7.91e+03 0.0136 89.0 51.5 7.20 280 0.00284 16.7 350 104 1.86e+04 0.0272 136
4.422247296281716 12 0.9025762981603639 3.0839528009475643 6.0 6.0 6.0 3.4 0.41 1.0 0.080 1.0 5.0 3.0 1.5 3.0 1.2 4.00 0.750 1.48 0.00 1.22 64.0 13.2 557 0.00465 23.6 87.5 23.9 1.67e+03 0.000294 40.9 64.0 18.2 671 2.25 25.9 350 72.9 1.51e+04 0.000568 123
5.422247296281716 17 1.048018148380159 6.15926321783425 7.0 7.0 7.0 4.9 0.41 1.4 0.078 1.2 5.0 2.9 2.1 3.0 1.4 5.00 0.706 1.72 0.00 1.31 258 26.4 3.94e+03 1.29 62.8 93.3 17.5 868 0.000449 29.5 258 42.0 4.42e+03 9.13 66.5 350 57.4 1.18e+04 0.000631 109
6.422247296281716 20 0.3421060670170659 8.219406812199349 7.0 7.0 7.0 5.7 0.42 1.7 0.080 1.3 6.0 3.1 2.1 3.0 1.4 5.00 0.800 1.75 0.00 1.32 449 53.3 1.29e+04 5.48 114 97.2 15.4 678 2.64 26.0 449 88.2 1.75e+04 12.1 132 350 53.6 1.06e+04 4.73 103
7.422247296281716 22 0.5286766817420276 9.389510016986945 8.0 8.0 8.0 6.3 0.42 1.8 0.083 1.4 7.0 3.5 3.0 3.0 1.7 5.00 0.909 1.80 0.00 1.34 449 61.6 1.32e+04 7.14 115 97.2 11.9 555 0.503 23.6 706 148 4.28e+04 37.7 207 350 48.9 1.01e+04 1.26 100
8.422247296281716 29 -0.4443170298837493 12.103620522533411 9.0 9.0 9.0 8.3 0.42 2.4 0.073 1.6 7.0 3.5 3.3 3.0 1.8 5.00 0.724 1.49 0.00 1.22 449 84.5 1.96e+04 7.65 140 97.2 10.9 433 0.291 20.8 993 201 8.35e+04 48.7 289 350 40.1 7.76e+03 0.571 88.1
9.422247296281716 29 -0.4443170298837493 12.103620522533411 9.0 9.0 9.0 8.3 0.42 2.4 0.073 1.6 7.0 3.5 3.3 3.0 1.8 5.00 1.00 1.64 1.00 1.28 449 84.5 1.96e+04 7.65 140 97.2 7.21 433 0.00309 20.8 1.99e+03 343 2.58e+05 48.7 508 350 34.9 8.19e+03 0.00429 90.5
10.422247296281716 31 0.05117811817269892 12.194410627165816 9.0 9.0 9.0 8.9 0.42 2.6 0.067 1.6 8.0 3.8 4.6 3.0 2.2 5.00 0.903 1.76 0.00 1.33 449 80.2 1.86e+04 7.65 136 97.2 7.46 381 0.485 19.5 2.95e+03 394 5.14e+05 34.7 717 350 33.8 7.50e+03 0.609 86.6
11.422247296281716 36 -0.2824962445170147 13.406973866077715 9.0 9.0 9.0 10 0.42 3.0 0.059 1.7 10 4.3 6.5 4.0 2.6 5.00 0.833 1.63 0.00 1.28 449 99.5 2.15e+04 24.9 147 97.2 7.52 347 0.517 18.6 2.95e+03 460 7.24e+05 56.3 851 350 31.8 6.72e+03 0.602 82.0
12.422247296281716 38 -0.1969151474259004 13.886409466530674 9.0 9.0 9.0 11 0.42 3.2 0.053 1.8 11 4.7 8.5 4.0 2.9 6.00 0.947 1.94 0.500 1.39 449 102 2.08e+04 36.4 144 97.2 7.43 411 0.123 20.3 2.48e+03 450 5.39e+05 67.3 734 350 30.4 6.48e+03 0.142 80.5
13.422247296281716 39 -0.048043304613108725 14.037440963883979 9.0 9.0 9.0 11 0.42 3.3 0.054 1.8 11 4.7 8.8 4.0 3.0 6.00 0.974 1.97 1.00 1.40 449 103 2.04e+04 38.1 143 97.2 6.63 327 0.124 18.1 2.76e+03 513 6.65e+05 73.7 815 350 29.2 6.11e+03 0.232 78.1
14.422247296281716 40 0.13094582137165908 14.281689528954391 9.0 9.0 9.0 11 0.42 3.3 0.056 1.8 11 4.8 8.4 4.0 2.9 6.00 0.950 1.79 1.00 1.34 449 105 2.00e+04 43.4 141 97.2 7.44 309 0.868 17.6 3.77e+03 556 7.95e+05 111 891 350 29.7 5.84e+03 1.11 76.4
15.422247296281716 41 0.058013966016299885 14.493188305704315 9.0 9.0 9.0 12 0.43 3.4 0.054 1.8 11 4.9 8.3 5.0 2.9 6.00 0.951 1.85 1.00 1.36 449 112 2.15e+04 48.7 147 97.2 7.27 288 1.54 17.0 3.78e+03 601 1.02e+06 154 1.01e+03 350 28.9 5.64e+03 1.97 75.1
16.422247296281718 42 0.04446637336641995 14.657215187849705 9.0 9.0 9.0 12 0.43 3.5 0.052 1.9 12 5.1 9.1 5.0 3.0 6.00 0.952 1.75 1.00 1.32 449 118 2.27e+04 49.7 151 97.2 7.21 258 2.01 16.1 4.01e+03 620 1.05e+06 193 1.03e+03 350 28.8 5.46e+03 3.68 73.9
17.422247296281718 42 0.04446637336641995 14.657215187849705 9.0 9.0 9.0 12 0.43 3.5 0.052 1.9 12 5.1 9.1 5.0 3.0 6.00 0.976 1.83 1.00 1.35 449 118 2.27e+04 49.7 151 97.2 7.00 257 2.11 16.0 4.19e+03 654 1.19e+06 193 1.09e+03 350 28.5 5.46e+03 3.16 73.9
18.422247296281718 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.953 1.76 1.00 1.33 449 118 2.22e+04 50.7 149 97.2 6.91 247 2.73 15.7 4.58e+03 677 1.32e+06 177 1.15e+03 350 28.1 5.35e+03 3.98 73.1
19.422247296281718 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.977 1.83 1.00 1.35 449 118 2.22e+04 50.7 149 97.2 6.85 244 2.37 15.6 5.34e+03 707 1.60e+06 177 1.26e+03 350 28.2 5.35e+03 3.25 73.2
20.422247296281718 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.977 1.74 1.00 1.32 449 118 2.22e+04 50.7 149 97.2 6.91 246 1.87 15.7 5.35e+03 737 1.82e+06 210 1.35e+03 350 28.1 5.34e+03 2.78 73.1
21.422247296281718 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.977 1.74 1.00 1.32 449 118 2.22e+04 50.7 149 97.2 7.00 244 2.99 15.6 5.09e+03 722 1.69e+06 210 1.30e+03 350 28.2 5.34e+03 3.61 73.0
22.422247296281718 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.977 1.74 1.00 1.32 449 118 2.22e+04 50.7 149 97.2 6.94 244 2.92 15.6 5.09e+03 728 1.74e+06 210 1.32e+03 350 28.1 5.34e+03 3.61 73.1
23.422247296281718 43 -0.1332499972281565 14.827620952337059 9.0 9.0 9.0 12 0.43 3.6 0.054 1.9 12 5.2 9.1 5.0 3.0 6.00 0.977 1.74 1.00 1.32 449 118 2.22e+04 50.7 149 97.2 6.94 244 2.92 15.6 5.09e+03 728 1.74e+06 210 1.32e+03 350 28.1 5.34e+03 3.61 73.1
